IdConglomerado,Anio,Estado,Municipio,Formato,Tipo_cgl,Veg_prim_levantada,Veg_sec_levantada,Veg_prim_esperada,Veg_sec_esperada,Latitud,Longitud,X,Y,Altitud,Sitio,Registro,Arbol,Genero_Especie,forma_biologica,Condicion,NomComun,DiametroNormal,AlturaTotal,DiametroCopa,AlturaFusteLimpio,AlturaComercial,Distancia,Azimut
51249,2013,Nayarit,Jala,Bosque,Inicial,BQP,NULL,BQP,VSna,21 10 16,-104 25 27.9,-104.424416,21.1711104444,1655,3,1,1,Pinus douglasiana,Arbol,Vivo,Pino duglaciana,13.2,10,3,3,2.8,1.9,50
51249,2013,Nayarit,Jala,Bosque,Inicial,BQP,NULL,BQP,VSna,21 10 16,-104 25 27.9,-104.424416,21.1711104444,1655,3,2,2,Pinus douglasiana,Arbol,Vivo,Pino duglaciana,28.4,13.5,5.4,4.5,7.7,2.8,120
51249,2013,Nayarit,Jala,Bosque,Inicial,BQP,NULL,BQP,VSna,21 10 16,-104 25 27.9,-104.424416,21.1711104444,1655,3,3,3,Pinus douglasiana,Arbol,Vivo,Pino duglaciana,29,13,5.1,4,7,4.8,165
51249,2013,Nayarit,Jala,Bosque,Inicial,BQP,NULL,BQP,VSna,21 10 16,-104 25 27.9,-104.424416,21.1711104444,1655,3,4,3,Pinus douglasiana,Arbol,Vivo,Pino duglaciana,10.6,7,2.9,2.8,2.5,5.1,166
51249,2013,Nayarit,Jala,Bosque,Inicial,BQP,NULL,BQP,VSna,21 10 16,-104 25 27.9,-104.424416,21.1711104444,1655,3,5,4,Pinus douglasiana,Arbol,Vivo,Pino duglaciana,17.5,11,4.7,6,5,5.2,186
51249,2013,Nayarit,Jala,Bosque,Inicial,BQP,NULL,BQP,VSna,21 10 16,-104 25 27.9,-104.424416,21.1711104444,1655,3,7,6,Pinus douglasiana,Arbol,Vivo,Pino duglaciana,16,10,4.1,6,5.1,3,200
51249,2013,Nayarit,Jala,Bosque,Inicial,BQP,NULL,BQP,VSna,21 10 16,-104 25 27.9,-104.424416,21.1711104444,1655,3,8,7,Pinus douglasiana,Arbol,Vivo,Pino duglaciana,15.3,9,4.3,6.8,4.8,3.6,215
51249,2013,Nayarit,Jala,Bosque,Inicial,BQP,NULL,BQP,VSna,21 10 16,-104 25 27.9,-104.424416,21.1711104444,1655,3,9,8,Pinus douglasiana,Arbol,Vivo,Pino duglaciana,23,8.7,3.9,5.7,4.9,11.1,227
51249,2013,Nayarit,Jala,Bosque,Inicial,BQP,NULL,BQP,VSna,21 10 16,-104 25 27.9,-104.424416,21.1711104444,1655,3,10,9,Pinus douglasiana,Arbol,Vivo,Pino duglaciana,19.3,10.4,4.3,6,5.7,10.3,240
51249,2013,Nayarit,Jala,Bosque,Inicial,BQP,NULL,BQP,VSna,21 10 16.9,-104 25 29,-104.4247215556,21.1713604444,1655,1,13,12,En identificación en identificacion,NULL,Vivo,NULL,12.6,8.8,2.2,2.8,1.6,2.7,270
51249,2013,Nayarit,Jala,Bosque,Inicial,BQP,NULL,BQP,VSna,21 10 16.9,-104 25 29,-104.4247215556,21.1713604444,1655,1,14,13,En identificación en identificacion,NULL,Vivo,NULL,9.2,6.8,3,2.2,0,9.2,290
51249,2013,Nayarit,Jala,Bosque,Inicial,BQP,NULL,BQP,VSna,21 10 16.9,-104 25 29,-104.4247215556,21.1713604444,1655,1,15,14,En identificación en identificacion,NULL,Vivo,NULL,27.5,12.1,5.8,2.6,5.7,7.6,300
