IdConglomerado,Anio,Estado,Municipio,Formato,Veg_prim_levantada,Veg_sec_levanatda,Veg_prim_esperada,Veg_sec_esperada,Tipo_cgl,Monitoreo,Muestreado,Cubierta_Vegetal,Tenencia,Cuenca,Subcuenca,Sitios_x_cgl,Sitio_1,Sitio_2,Sitio_3,Sitio_4,Arboles_x_cgl,Latitud,Longitud,X,Y,Altitud,Fisiografia,Pendiente,Uso_suelo_SCV,con_Cuerpos_agua,con_Diversidad,con_epifitas,con_flora_riego,con_Impactos_amb,con_Incendios,con_Plagas,Punto_control,con_suelos,con_Sitios,Descripcion,Observaciones
43810,2013,Nayarit,Huajicori,Bosque,BQ,VSna,BQ,VSA,Inicial,No,Si,Si,Ejidal,Presidio San Pedro,"Presidio, Baluarte y Ca±as",4,1,1,1,1,48,22 52 53.1,-105 14 24,-105.2399996667,22.881416,597,Ladera,43,No aplica,0,1,1,0,1,1,0,1,1,1,El PC se encuentra en un encino en el camino que va a la campana,"En el CGL 44810 no se encontró evidencia de muestreo de la brigada anterior.    SITIO 1. El registro 9 es árbol ultimo, porque el A-10 esta muerto.    SITIO 2. El A-8 se tomo como sub-muestra por la relevancia de ser una especie diferente, aunque no este cercana al centro del sitio.    SITIO 3. Algunos arboles tiene dueño por incendio en la base del tronco, se desconoce el origen y se hubiese ocurrido alguno en años anteriores.    SITIO 4. El registro 12 no se evaluó el indicador de copa ya que es un árbol que se encuentra severamente dañado.    NOTA: La zona donde se encuentra el CGL, es considerada como la ingobernable, esto en relación a que las localidades anteriores al PC están abandonadas por sus moradores."
43815,2013,Nayarit,Huajicori,Bosque,BQ,VSna,BQ,VSA,Inicial,No,Si,Si,Ejidal,Presidio San Pedro,"Rio San Pedro, Rosa Morada y Acaponeta",4,1,1,1,1,32,22 53 11,-104 59 42,-104.9949996667,22.8863885556,788,Ladera,16,No aplica,0,1,1,0,1,1,0,1,1,1,El PC se encuentra en un pino en la localidad de Murallita,"En el cgl 43815 se encontró evidencia de la brigada anterior (varilla, placas y arboles marcados).    SITIO 1. Los registros 6, 7, 9, 40 y 11 tienen evidencia de daño por incendio pero se desconoce la forma de como se origino el fuego y el año en que se presentó.    SUELOS: Se observo presencia de actividad ganadera y pastoreo."
44144,2013,Nayarit,Huajicori,Bosque,BQ,VSna,BQ,VSna,Inicial,No,Si,Si,Ejidal,Presidio San Pedro,"Presidio, Baluarte y Ca±as",4,1,1,1,1,50,22 47 23.1,-105 17 12,-105.2866663333,22.7897496667,485,Ladera,45,No aplica,0,1,1,0,1,0,0,1,1,1,El PC se encuentra en un poste de luz en la localidad El Molino,"En el CGL 44144, si se encontró evidencia de muestreó de la brigada anterior (varilla, placas y arboles marcados).    SUELOS. No se observo evidencia de actividad ganadera.    SITIO 2. El registro 16, el diámetro normal de tomo a 1.4 m por presentar deformación al 1.3 m.    SITIO 3. El A-3 esta muerto por daño desconocido.    SITIO 4. El registro 11 tiene una inclinación muy prolongada.    NOTA: Zona donde se encuentra el CGL, existe grado de ingobernabilidad."
44316,2013,Nayarit,Huajicori,Bosque,BQ,VSna,BQ,VSna,Inicial,No,Si,Si,Ejidal,Presidio San Pedro,"Rio San Pedro, Rosa Morada y Acaponeta",4,1,1,1,1,27,22 45 7.4,-104 56 45.9,-104.946083,22.7520555556,935,Lomerio,25,No aplica,0,1,1,0,1,0,0,1,1,1,Se marcó en un poste de luz en la casa de Erick Ruíz en la Loc. Llano Grande,"En el cgl 44316, se encontró evidencia de muestreo de la brigada anterior (Varilla, arboles marcados y placas).    Suelos: se observo evidencia de actividad ganadera y pastoreo.    Se observo evidencia de aprovechamiento forestal para uso personal.    Sitio 1. El A-2, es árbol primero porque el A-1 es tocón.    NOTA: El PC se coloco a una distancia de 17,100 metros debido a que no existen características distintivas donde establecer el PC, el cual esta puesto en un poste de luz en la casa del Señor Erick Ruíz, en la localidad llano grande Huajicori, Nayarit."
44502,2013,Jalisco,Huejuquilla el Alto,Bosque,BQ,VSA,BQ,VSA,Inicial,No,Si,Si,Comunal,Lerma Santiago,Rio Bajo Santigo,4,1,1,1,1,14,22 43 21,-103 51 57,-103.8658333333,22.7224993333,2024,Planicie,7,No aplica,1,1,1,0,1,0,0,1,1,1,En un poste de Luz,"SITIO 1. Se encontró varilla central.    SITIO 2. Los registros 5, 6, 7 y 10 tienen su diámetro de copa mayor a su altura toral.    SITIO 3. No se encontró estaca. Hay un solo árbol con tres registros.    SITIO 4. Se encuentra un abrevadero donde toma el ganado agua. No hay arbolado con DAP mayor o igual a 7.5 cm.    En este conglomerado no se encontró ni el 10% de cobertura vegetal, además que en el sitio 4 cayo en un abrevadero por lo que no se envían fotografías hemisféricas."
44667,2013,Jalisco,Huejuquilla el Alto,Bosque,BQ,VSaa,BQ,VSaa,Inicial,No,Si,Si,Comunal,Lerma Santiago,Rio Bajo Santigo,4,1,1,1,1,11,22 40 42,-103 46 2,-103.7672215556,22.6783326667,2103,Planicie,18,No aplica,0,1,1,0,1,0,0,1,1,1,En un poste de luz sobre la carretera a Valparaiso,"SITIO 1. Se encontró varilla central. No hay arbolado.    SITIO 2. Se encontró estaca. Hay árboles marcados. Los arboles 1 y 2 su diámetro de copa es mayor a la altura total.    SITIO 3. No se localizo estaca. Pero si arboles marcados. El árbol 1 su diámetro de copa es mayor a su altura total.    SITIO 4. Solo se encontró arboles marcados. Los arboles 1, 3 y 5 su diámetro de copa es mayor a su altura total."
44964,2013,Nayarit,Acaponeta,Bosque,BQ,VSna,BQ,VSna,Inicial,No,Si,Si,Ejidal,Presidio San Pedro,"Rio San Pedro, Rosa Morada y Acaponeta",3,1,1,0,1,48,22 34 4.8,-105 2 12.7,-105.0368607778,22.5679993333,1744,Ladera,34,No aplica,0,1,1,0,1,0,0,1,1,1,El PC se encuentra en un piuno en la entrada a la Localidad de Cañones,"En el cgl 44964 se encontró evidencia de muestreo de la brigada anterior (varilla, placas y arboles marcados).    SUELOS. Se observo evidencia de actividad ganadera y de pastoreo.    El sitio 3. Es inaccesible por ubicarse en una ladera con una pendiente mayor a 100% y además las condiciones del terreno no son seguras para llegar al sitio y realizar el levantamiento de la información.    El trazado de suelos se realizo en el sitio 4.    La foto de estadal se tomo de NE-SE, debido a que existe una pendiente muy pronunciada y con el terreno suelto.    NOTA: El Quercus castanea es conocido en la comunidad donde se encuentra el CGL como encino blanco."
45285,2013,Nayarit,Acaponeta,Bosque,BQ,VSna,SMS,VSA,Inicial,No,Si,Si,Ejidal,Presidio San Pedro,"Rio San Pedro, Rosa Morada y Acaponeta",2,1,0,1,0,14,22 28 33.9,-105 5 0.8,-105.0835552222,22.4760826667,522,Barranca,25,No aplica,0,1,1,0,1,0,0,1,1,1,El pc se encuentra en la loc.Santa Cruz de Alcala en un encino,"Se encontró evidencias de marqueo, varilla central y placas de aluminio   Los sitios 2 y 4 se encontraron inaccesibles por cuestiones de ingobernabilidad, no se tomaron fotografía o videos por cuestiones de seguridad ya que nos estuvieron observando durante todo el tiempo que se trabajo en el conglomerado  El error de precisión estuvo por encima de los 5mts. Debido a las condiciones climáticas y a que el cgl. Se encuentra en una barranca profunda   La foto del estadal-TNR no se aprecia por la cuestión de mucha vegetación"
45443,2013,Nayarit,Acaponeta,Bosque,BQ,VSna,BQ,VSA,Inicial,No,Si,Si,Ejidal,Presidio San Pedro,"Presidio, Baluarte y Ca±as",4,1,1,1,1,108,22 25 39,-105 13 43.9,-105.2288604444,22.4274993333,305,Barranca,24,No aplica,0,1,1,0,1,0,0,1,1,1,El Pc se ecuentra en un arbol de encino hasat donde llega la brecha,En el cgl 45443 si se encontró evidencia de muestreo de la brigada anterior (varilla marcadas y con plan).    SITIO2: El árbol 17 se tomó como árbol ultimo debido a que los registros 18 y 19 son tocones.
45794,2013,Jalisco,Mezquitic,Bosque,BQ,VSA,BQ,VSA,Inicial,No,Si,Si,Comunal,Lerma Santiago,Rio Bajo Santigo,4,1,1,1,1,38,22 21 37.4,-103 48 43.4,-103.8120555556,22.3603888889,1874,Ladera,95,No aplica,1,1,1,0,1,0,0,1,1,1,En un árbol en la brecha al predio el Tepeguaje,"SITIO 1. Se localizo varilla central, arboles marcados y arboles submuestras. El árbol 8 esta sobre el suelo inclinado su altura comercial en mayor a su altura total.    SITIO 2. Se encontró estaca, árboles marcados y árboles submuestras. Los registros 11 y 12 tiene una copa mayor a su altura total.    SITIO 3. Se encontró árboles marcados, estaca y árboles submuestras.    SITIO 4. Se encontró estaca, árboles marcados y arboles submuestras."
