IdConglomerado,Anio,Estado,Municipio,Formato,Veg_prim_levantada,Veg_sec_levanatda,Veg_prim_esperada,Veg_sec_esperada,Tipo_cgl,Monitoreo,Muestreado,Cubierta_Vegetal,Tenencia,Cuenca,Subcuenca,Sitios_x_cgl,Sitio_1,Sitio_2,Sitio_3,Sitio_4,Arboles_x_cgl,Latitud,Longitud,X,Y,Altitud,Fisiografia,Pendiente,Uso_suelo_SCV,con_Cuerpos_agua,con_Diversidad,con_epifitas,con_flora_riego,con_Impactos_amb,con_Incendios,con_Plagas,Punto_control,con_suelos,con_Sitios,Descripcion,Observaciones
44637,2013,Nayarit,Huajicori,Selva,SMS,VSna,SMS,VSA,Inicial,No,Si,Si,Ejidal,Presidio San Pedro,"Presidio, Baluarte y Ca±as",4,1,1,1,1,101,22 39 15.9,-105 14 4.1,-105.2344718889,22.6544166667,507,Ladera,35,No aplica,0,1,1,1,0,0,0,1,1,1,Se marcó en una parota que se encuentra cerca del Rancho Mineral Real del Tigre,"Se encontró evidencia del conglomerado arboles rayados, varilla central y placas de aluminio."
44796,2013,Nayarit,Huajicori,Selva,SMS,VSna,SMS,VSna,Inicial,No,Si,Si,Ejidal,Presidio San Pedro,"Presidio, Baluarte y Ca±as",4,1,1,1,1,86,22 36 22.2,-105 22 48.1,-105.3800271111,22.6061666667,104,Lomerio,26,No aplica,0,1,1,0,1,0,0,1,1,1,El PC se encuentra en un árbol ciruelo hasta donde llega la brecha,"En el cgl 44796. Se encontró evidencia de muestreo de la brigada anterior (varilla, arboles marcados).    SUELOS. La foto de profundidad del suelo se tomo junto al cuadro de 1X1 m, debido a que donde este se encontraba era un sitio poco representativo.  NOTA. Hubo dos especies arbóreas que no se encontró el nombre común de estos 2 arboles. Se pregunto a gente de los Ranchos cercanos al CGL y no conocieron o supieron decirnos algún nombre común."
45606,2013,Nayarit,Acaponeta,Selva,SMS,VSA,SMS,VSA,Inicial,No,Si,Si,Ejidal,Presidio San Pedro,"Rio San Pedro, Rosa Morada y Acaponeta",4,1,1,1,1,68,22 23 2.1,-105 8 4.7,-105.1346385556,22.3839163333,854,Terraza,5,No aplica,0,1,1,0,1,0,0,1,1,1,El PC se encuentra en la comunidad San Pedro de Honor,"El árbol #2 del registro 4 se normalizo a 1.10 del sitio # 1, por deformación.    El árbol del registro 6 del sitio # 3 se normalizo al 1.20 por deformación.    El árbol del registro 15 del sitio # 3 se normalizo al 1.10 por deformación.    Se encontró evidencia de muestreo del conglomerado 45606 arboles marcados, varilla central, estacas y placas de aluminio.    El sitio 1 cuenta con un error de precisión mayor de 5 mts por cuestiones climáticas."
45769,2013,Nayarit,Del Nayar,Selva,SMS,VSna,SMS,VSA,Inicial,No,Si,Si,Ejidal,Presidio San Pedro,"Rio San Pedro, Rosa Morada y Acaponeta",3,1,1,1,0,34,22 20 38.3,-105 1 49.2,-105.0303326667,22.3439718889,349,Ladera,43,No aplica,0,1,1,0,1,0,0,1,1,1,El PC se encuentra en un arbol amapa hasta donde llega la brecha.,"  En el cgl 45769, no se encontró evidencia de muestreo de la brigada anterior.    Suelo: No se observó evidencia de actividad ganadera.    Sitio 1.- Sin observaciones    Sitio 2.- Sin observaciones    Sitio 3.- Sin observaciones    Sitio 4.- No se levantó por presencia de ingobernabilidad.    Nota: Tener cuidado zona donde se encuentra el cgl hay presencia de ingobernabilidad."
46084,2013,Nayarit,Rosamorada,Selva,SMS,VSna,SMS,VSna,Inicial,No,Si,Si,Ejidal,Presidio San Pedro,"Presidio, Baluarte y Ca±as",4,1,1,1,1,92,22 14 38.1,-105 19 18.1,-105.3216937778,22.2439163333,137,Bajo,13,No aplica,0,1,1,0,1,0,0,1,1,1,Se marco en un arbol que se ubica la final de la brecha,"En el CGL 46084, se encontró evidencia de muestreo de la brigada anterior (placas, varillas y arboles marcados).  Suelos: Se observo presencia de actividad ganadera y pastoreo."
46421,2013,Nayarit,Rosamorada,Selva,SMQ,VSA,SMQ,VSA,Inicial,No,Si,Si,Ejidal,Presidio San Pedro,"Presidio, Baluarte y Ca±as",4,1,1,1,1,75,22 9 26,-105 7 29.9,-105.1249715556,22.1572222222,309,Lomerio,30,No aplica,0,1,1,0,1,1,0,1,1,1,Se marcó en un árbol que se ubica al final de la brecha que va a las praderas,"Se encontró evidencias del muestreo varilla, placas y algunos árboles marcados.   El registro 14 y 15 del sitio # 2 se normalizaron a la altura de 2 m por tener deformación."
46793,2013,Nayarit,Ruiz,Selva,SMS,VSna,SMS,VSA,Inicial,No,Si,Si,Ejidal,Presidio San Pedro,"Rio San Pedro, Rosa Morada y Acaponeta",4,1,1,1,1,85,22 4 13,-104 55 41.1,-104.9280826667,22.0702771111,241,Lomerio,10,No aplica,0,1,1,1,1,0,0,1,1,1,El PC se encuentra en un árbol a la orilla de la Terraceria que llega al Rancho La Sanguijuela,Se encontró evidencia de muestreo anterior varilla central y placas.    El error de precisión fue mayor a 5 mts debido a las condiciones climáticas (Nublado).
47192,2013,Nayarit,Rosamorada,Selva,SMS,VSna,SMS,VSA,Inicial,No,Si,Si,Ejidal,Presidio San Pedro,"Rio San Pedro, Rosa Morada y Acaponeta",4,1,1,1,1,31,21 58 43,-104 58 28.9,-104.9746937778,21.9786104444,146,Lomerio,40,No aplica,0,1,1,1,1,0,0,1,1,1,El pc esta en el poblado el venado a 100mts. Donde se pasa el rio San Pedro en la canoa,Se encontró evidencia de muestreo anterior varilla central  Error de precisión es mayor a 5mts debido a las condiciones climáticas  En algunas fotos de colecta no se logro tomar las fotos en campo debido a que se tomaron en donde se apreciaron por cuestiones climatológicas
47598,2013,Nayarit,Santiago Ixcuintla,Selva,SMS,VSna,SMS,VSA,Inicial,No,Si,Si,Ejidal,Lerma Santiago,Rio Bajo Santigo,4,1,1,1,1,64,21 53 13.1,-105 1 17.1,-105.021416,21.8869718889,150,Ladera,30,No aplica,0,1,1,0,0,0,0,1,1,1,Se marco en un arbol que se ubica a la orilla de la terraceria cerca de la Loc. Acatan de las piñas,Se encontró evidencia del conglomerado varilla central y placas   Sitio 2. El registro 5 no se pudo evaluar las indicaciones de copa debido a un daño muy severo el cual se desconoce   El registro 15 se normalizo a 1.20 por llevar una bifurcación al 1.3  El error de precisión fue superior a 5 metros debido a la cobertura de dosel y que estuvo nublado todo el día   Fotos de arboles limite del registro 3 así como la foto de transecto sur y muestra del A002 y A011 tienen fecha diferente al levantamiento original esto debido a que se recuperan por no contar la calidad requerida
47810,2013,Nayarit,Santiago Ixcuintla,Selva,SMS,VSaa,SMS,VSA,Inicial,No,Si,Si,Ejidal,Lerma Santiago,Rio Bajo Santigo,4,1,1,1,1,80,21 50 36.9,-104 55 23,-104.9230548889,21.843583,399,Ladera,40,No aplica,0,1,1,0,1,0,0,1,1,1,Se marco en un arbol que se encuentra en la orilla de terraceria que va al Manguito,Se encontró evidencia del conglomerado varilla central y arboles marcados
